number/ #,working_name,formal_name,SMILES,colour
1,formaldehyde,formaldehyde,[H]C([H])=O,#0917e5
2,glycolaldehyde,glycolaldehyde,O=CCO,#6d1df1
3,dihydroxyacetone,dihydroxyacetone,O=C(CO)CO,#040273
4,glyceraldehyde,glyceraldehyde,O[C@H](C=O)CO,#d3b237
5,threose,threose,O=C[C@@H](O)[C@H](O)CO,#525fb7
6,erythrose,erythrose,O=C[C@H](O)[C@H](O)CO,#0a5f38
7,erythrulose,erythrulose,O=C(CO)[C@H](O)CO,#58bc08
8,aldotriose_alpha_branched,alpha-hydroxymethyl-aldotriose,O=CC(O)(CO)CO,#44AAAA
9,ribose,ribose,O=C[C@H](O)[C@H](O)[C@H](O)CO,#cd0d3c
10,xylose,xylose,O=C[C@H](O)[C@@H](O)[C@H](O)CO,#AA4457
11,xylulose,xylulose,O=C(CO)[C@@H](O)[C@H](O)CO,#b59410
12,3-ketopentose_syn,(RR)-3-ketopentose,O=C([C@@H](O)CO)[C@H](O)CO,#a3604b
13,3-ketopentose_anti,(RS)-3-ketopentose,O=C([C@H](O)CO)[C@H](O)CO,#a3604d
14,aldotetrose_alpha_branch_syn,alpha-hydroxymethyl-(RR)-aldotetrose,O=C[C@](O)(CO)[C@H](O)CO,#f53f06
15,aldotetrose_alpha_branch_anti,alpha-hydroxymethyl-(RS)-aldotetrose,O=C[C@@](O)(CO)[C@H](O)CO,#f53f08
16,aldotetrose_beta_branch,beta-hydroxymethyl-aldotetrose,O=C[C@H](O)C(O)(CO)CO,#f53f12
17,2-ketotetrose_alpha_branch,alpha-hydroxymethyl-2-ketotetrose,O=C(CO)C(O)(CO)CO,#a3604f
18,fructose,fructose,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,#56a45e
19,sorbose,sorbose,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO,#34be72
20,tagatose,tagatose,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO,#0ec460
21,3-ketohexose_RSS,3-ketohexose,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO,#ec2d01
22,aldopentose_alpha_branch_RRR,alpha-hydroxymethyl-(RRR)-aldopentose,O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO,#689285
23,aldopentose_alpha_branch_RRS,alpha-hydroxymethyl-(RRS)-aldopentose,O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO,#428317
24,aldopentose_alpha_branch_RSS,alpha-hydroxymethyl-(RSS)-aldopentose,O=C[C@](O)(CO)[C@H](O)[C@H](O)CO,#428340
25,aldopentose_alpha_branch_RSR,alpha-hydroxymethyl-(RSR)-aldopentose,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO,#428380
26,aldotetrose_alpha_beta_branch,(alpha-beta)-bis-hydroxymethyl-aldotetrose,O=C[C@@](O)(CO)C(O)(CO)CO,#06986a
27,2-ketopentose_alpha_branch_RR,alpha-hydroxymethyl-(RR)-2-ketopentose,O=C(CO)[C@](O)(CO)[C@H](O)CO,#06990a
28,2-ketopentose_alpha_branch_RS,alpha-hydroxymethyl-(RS)-2-ketopentose,O=C(CO)[C@@](O)(CO)[C@H](O)CO,#6ef1c9
29,aldopentose_beta_branch_RRR,beta-hydroxymethyl-(RRR)-aldopentose,O=C[C@H](O)[C@](O)(CO)[C@H](O)CO,#06986a
30,aldopentose_beta_branch_RSR,beta-hydroxymethyl-(RSR)-aldopentose,O=C[C@H](O)[C@@](O)(CO)[C@H](O)CO,#428317
31,3-ketopentose_alpha_branch,alpha-hydroxymethyl-3-ketopentose,O=C([C@H](O)CO)C(O)(CO)CO,#069848
